TYPE,MODEL,STATE,STATECODE,NAMELSAD,COUNTYFP,GEOID,NAME,GTFSFOLDERS
Main,None,Texas,TX,Randall County,381,48381,Randall
Main,None,Texas,TX,Rockwall County,397,48397,Rockwall
Extra,None,Texas,TX,Rusk County,401,48401,Rusk
Main,None,Texas,TX,San Patricio County,409,48409,San Patricio
Main,None,Texas,TX,Smith County,423,48423,Smith
Extra,None,Texas,TX,Starr County,427,48427,Starr
Main,None,Texas,TX,Tarrant County,439,48439,Tarrant
Main,None,Texas,TX,Taylor County,441,48441,Taylor
Main,None,Texas,TX,Tom Green County,451,48451,Tom Green
Main,None,Texas,TX,Travis County,453,48453,Travis
Extra,None,Texas,TX,Van Zandt County,467,48467,Van Zandt
Main,None,Texas,TX,Victoria County,469,48469,Victoria
Main,None,Texas,TX,Walker County,471,48471,Walker
Main,None,Texas,TX,Webb County,479,48479,Webb
Main,None,Texas,TX,Wichita County,485,48485,Wichita
Main,None,Texas,TX,Williamson County,491,48491,Williamson
Main,None,Texas,TX,Wise County,497,48497,Wise
Main,None,Georgia,GA,Barrow County,13,13013,Barrow
Main,None,Georgia,GA,Bartow County,15,13015,Bartow
Main,None,Georgia,GA,Bibb County,21,13021,Bibb
Main,None,Georgia,GA,Bulloch County,31,13031,Bulloch
Extra,None,Georgia,GA,Camden County,39,13039,Camden
Main,None,Georgia,GA,Carroll County,45,13045,Carroll
Main,None,Georgia,GA,Catoosa County,47,13047,Catoosa
Main,None,Georgia,GA,Chatham County,51,13051,Chatham,Georgia/Chatham-GTFS
Main,None,Georgia,GA,Cherokee County,57,13057,Cherokee,Georgia/Cherokee-gtfs_CATS
Main,None,Georgia,GA,Clarke County,59,13059,Clarke
Main,None,Georgia,GA,Clayton County,63,13063,Clayton,Georgia/atlanta-marta
Main,None,Georgia,GA,Cobb County,67,13067,Cobb,Georgia/cobb-cct
Main,None,Georgia,GA,Columbia County,73,13073,Columbia
Main,None,Georgia,GA,Coweta County,77,13077,Coweta
Main,None,Georgia,GA,DeKalb County,89,13089,DeKalb,Georgia/atlanta-marta
Main,None,Georgia,GA,Dougherty County,95,13095,Dougherty
Main,None,Georgia,GA,Douglas County,97,13097,Douglas,Georgia/atlanta-grta
Extra,None,Georgia,GA,Effingham County,103,13103,Effingham
Main,None,Georgia,GA,Fayette County,113,13113,Fayette
Main,None,Georgia,GA,Floyd County,115,13115,Floyd
Main,None,Georgia,GA,Forsyth County,117,13117,Forsyth
Main,None,Georgia,GA,Fulton County,121,13121,Fulton,Georgia/atlanta-grta
Main,None,Georgia,GA,Fulton County,121,13121,Fulton,Georgia/atlanta-gtfs_ASC
Main,None,Georgia,GA,Fulton County,121,13121,Fulton,Georgia/atlanta-marta
Main,None,Georgia,GA,Glynn County,127,13127,Glynn
Extra,None,Georgia,GA,Gordon County,129,13129,Gordon
Main,None,Georgia,GA,Gwinnett County,135,13135,Gwinnett,Georgia/gwinnettcountytransit-ga-us
Main,None,Georgia,GA,Gwinnett County,135,13135,Gwinnett,Georgia/atlanta-grta
Main,None,Georgia,GA,Hall County,139,13139,Hall
Main,None,Georgia,GA,Henry County,151,13151,Henry
Main,None,Georgia,GA,Houston County,153,13153,Houston
Main,None,Georgia,GA,Jackson County,157,13157,Jackson
Extra,None,Georgia,GA,Liberty County,179,13179,Liberty
Main,None,Georgia,GA,Lowndes County,185,13185,Lowndes
Main,None,Georgia,GA,Muscogee County,215,13215,Muscogee
Main,None,Georgia,GA,Newton County,217,13217,Newton
Main,None,Georgia,GA,Paulding County,223,13223,Paulding
Main,None,Georgia,GA,Richmond County,245,13245,Richmond
Main,None,Georgia,GA,Rockdale County,247,13247,Rockdale
Main,None,Georgia,GA,Spalding County,255,13255,Spalding
Main,None,Georgia,GA,Troup County,285,13285,Troup
Main,None,Georgia,GA,Walker County,295,13295,Walker
Main,None,Georgia,GA,Walton County,297,13297,Walton
Main,None,Georgia,GA,Whitfield County,313,13313,Whitfield
Main,None,California,CA,Merced County,47,6047,Merced
